policy_id,customer_id,agent_id,policy_type,policy_start_date,policy_end_date,policy_status,region,annual_premium
P000075,C00943,A0012,Home,2024-08-25,2025-08-25,Active,Midwest,1440.59
P000076,C00235,A0020,Auto,2024-07-20,2025-07-20,Cancelled,South,1611.25
P000077,C00274,A0075,Life,2023-06-03,2024-06-02,Active,Midwest,1399.65
P000078,C00710,A0017,Home,2025-03-25,2026-03-25,Active,Northeast,2275.47
P000079,C00763,A0012,Home,2024-02-26,2025-02-25,Active,Midwest,1386.41
P000080,C00978,A0066,Auto,2025-06-26,2026-06-26,Renewed,West,2025.16
P000081,C00742,A0030,Life,2023-03-07,2024-03-06,Active,West,1401.88
P000082,C00467,A0005,Home,2023-11-06,2024-11-05,Active,West,3119.63
P000083,C00331,A0049,Home,2023-09-02,2024-09-01,Active,Midwest,1335.29
P000084,C00705,A0028,Commercial,2023-08-04,2024-08-03,Active,Midwest,5758.53
P000085,C00526,A0079,Life,2023-03-08,2024-03-07,Active,Northeast,1574.59
P000086,C00367,A0054,Auto,2024-06-15,2025-06-15,Active,West,1052.05
P000087,C00112,A0041,Auto,2023-07-13,2024-07-12,Active,South,1010.38
P000088,C00204,A0032,Health,2024-08-19,2025-08-19,Active,Midwest,4833.92
P000089,C00798,A0016,Health,2023-01-20,2024-01-20,Active,South,6582.77
P000090,C00607,A0040,Auto,2023-10-01,2024-09-30,Active,West,1780.74
P000091,C00300,A0027,Commercial,2023-04-14,2024-04-13,Expired,Midwest,5951.43
P000092,C00656,A0003,Commercial,2024-02-06,2025-02-05,Cancelled,South,9530.45
P000093,C00008,A0027,Home,2024-08-01,2025-08-01,Active,Midwest,2096.46
P000094,C00508,A0036,Commercial,2023-11-27,2024-11-26,Active,Northeast,7179.62
P000095,C00098,A0011,Home,2024-11-11,2025-11-11,Active,South,2595.55
P000096,C00452,A0030,Auto,2025-01-25,2026-01-25,Active,West,1374.42
P000097,C00221,A0052,Home,2023-12-15,2024-12-14,Renewed,West,2048.91
P000098,C00407,A0029,Home,2023-05-02,2024-05-01,Active,Northeast,2709.8
P000099,C00909,A0059,Commercial,2023-09-02,2024-09-01,Active,Midwest,6304.1
P000100,C00154,A0054,Auto,2025-06-10,2026-06-10,Active,West,1612.75
P000101,C00469,A0014,Auto,2024-04-30,2025-04-30,Active,South,957.77
P000102,C00723,A0043,Health,2023-05-21,2024-05-20,Active,Northeast,5555.92
P000103,C00566,A0042,Life,2025-05-26,2026-05-26,Cancelled,Midwest,795.1
P000104,C00173,A0079,Home,2024-01-02,2025-01-01,Renewed,Northeast,2444.65
P000105,C00471,A0063,Home,2024-05-12,2025-05-12,Active,Northeast,1738.84
P000106,C00302,A0053,Health,2024-11-28,2025-11-28,Cancelled,Northeast,6142.45
P000107,C00428,A0050,Health,2024-10-07,2025-10-07,Active,South,7061.79
P000108,C00727,A0027,Life,2025-04-05,2026-04-05,Active,Midwest,1527.82
P000109,C00306,A0069,Auto,2025-05-01,2026-05-01,Cancelled,South,1337.79
P000110,C00859,A0068,Life,2024-12-18,2025-12-18,Expired,Northeast,1339.26
P000111,C00748,A0073,Home,2023-06-22,2024-06-21,Active,Northeast,3204.14
P000112,C00951,A0065,Life,2024-07-28,2025-07-28,Cancelled,South,819.22
P000113,C00088,A0076,Auto,2025-03-18,2026-03-18,Renewed,South,1220.18
P000114,C00677,A0031,Commercial,2024-04-15,2025-04-15,Renewed,South,6893.43
P000115,C00253,A0002,Health,2025-06-08,2026-06-08,Renewed,Midwest,6952.75
P000116,C00449,A0011,Commercial,2025-02-28,2026-02-28,Expired,South,10045.47
P000117,C00191,A0074,Auto,2023-10-10,2024-10-09,Active,South,2053.15
P000118,C00022,A0054,Commercial,2025-04-12,2026-04-12,Active,West,8363.04
P000119,C00973,A0064,Health,2023-09-05,2024-09-04,Cancelled,Northeast,4083.91
P000120,C00245,A0065,Commercial,2024-08-02,2025-08-02,Active,South,6641.8
P000121,C00458,A0009,Health,2025-06-01,2026-06-01,Renewed,Midwest,5659.39
P000122,C00097,A0001,Life,2023-10-01,2024-09-30,Expired,Northeast,1187.77
P000123,C00618,A0003,Auto,2023-03-11,2024-03-10,Expired,South,1108.35
P000124,C00172,A0061,Life,2023-01-26,2024-01-26,Active,South,1113.86
P000125,C00206,A0010,Home,2025-04-16,2026-04-16,Expired,Midwest,2902.7
P000126,C00099,A0038,Auto,2024-04-18,2025-04-18,Active,South,1831.83
P000127,C00495,A0067,Commercial,2024-03-02,2025-03-02,Active,South,6568.37
P000128,C00031,A0015,Commercial,2025-06-29,2026-06-29,Active,South,9837.4
P000129,C00903,A0042,Health,2024-02-20,2025-02-19,Active,Midwest,6003.92
P000130,C00779,A0007,Auto,2023-04-12,2024-04-11,Active,South,832.46
P000131,C00484,A0057,Auto,2025-03-09,2026-03-09,Active,Northeast,836.85
P000132,C00288,A0076,Commercial,2024-12-10,2025-12-10,Renewed,South,10094.26
P000133,C00428,A0050,Commercial,2024-11-16,2025-11-16,Renewed,South,6438.08
P000134,C00551,A0071,Health,2023-09-13,2024-09-12,Active,South,6490.29
P000135,C00319,A0017,Health,2023-06-27,2024-06-26,Renewed,Northeast,6192.73
P000136,C00597,A0047,Commercial,2023-06-21,2024-06-20,Active,South,6756.51
P000137,C00162,A0028,Auto,2023-12-18,2024-12-17,Active,Midwest,1211.97
P000138,C00078,A0006,Auto,2023-07-31,2024-07-30,Active,South,1786.55
P000139,C00495,A0041,Health,2023-05-13,2024-05-12,Active,South,6032.43
P000140,C00036,A0009,Home,2025-05-07,2026-05-07,Active,Midwest,2206.77
P000141,C00712,A0023,Home,2023-07-05,2024-07-04,Renewed,Northeast,2653.84
P000142,C00597,A0038,Life,2024-07-10,2025-07-10,Renewed,South,1168.33
P000143,C00811,A0025,Home,2024-11-23,2025-11-23,Renewed,West,1685.31
P000144,C00436,A0011,Health,2024-03-23,2025-03-23,Cancelled,South,5903.53
P000145,C00671,A0040,Commercial,2024-07-24,2025-07-24,Active,West,8034.66
P000146,C00607,A0046,Auto,2025-02-15,2026-02-15,Active,West,1239.76
P000147,C00838,A0051,Life,2024-03-23,2025-03-23,Active,South,893.28
P000148,C00633,A0067,Life,2025-05-31,2026-05-31,Expired,South,1087.22
P000149,C00988,A0006,Auto,2023-08-16,2024-08-15,Active,South,1877.08
P000150,C00980,A0066,Health,2025-05-04,2026-05-04,Active,West,4916.63
P000151,C00170,A0039,Auto,2023-03-08,2024-03-07,Cancelled,West,2190.39
P000152,C00375,A0025,Auto,2023-04-11,2024-04-10,Active,West,1663.86
P000153,C00438,A0024,Life,2023-06-08,2024-06-07,Expired,South,988.78
P000154,C00419,A0004,Commercial,2023-06-09,2024-06-08,Active,South,10279.52
P000155,C00825,A0013,Commercial,2024-04-24,2025-04-24,Active,West,10515.9
P000156,C00652,A0040,Auto,2023-12-14,2024-12-13,Active,West,1394.3
P000157,C00070,A0069,Auto,2024-02-07,2025-02-06,Active,South,2055.9
P000158,C00026,A0054,Health,2023-06-19,2024-06-18,Active,West,4864.81
P000159,C00230,A0015,Home,2023-09-17,2024-09-16,Active,South,1683.36
P000160,C00828,A0048,Auto,2025-02-04,2026-02-04,Active,West,1497.87
P000161,C00715,A0048,Home,2023-11-27,2024-11-26,Cancelled,West,1315.92
P000162,C00044,A0016,Home,2023-03-13,2024-03-12,Renewed,South,1202.61
P000163,C00129,A0046,Life,2024-07-06,2025-07-06,Active,West,867.23
P000164,C00348,A0042,Home,2023-07-09,2024-07-08,Active,Midwest,1468.7
P000165,C00871,A0038,Health,2024-12-05,2025-12-05,Renewed,South,6242.25
P000166,C00721,A0026,Home,2024-11-09,2025-11-09,Active,Midwest,1705.65
P000167,C00816,A0048,Auto,2024-05-31,2025-05-31,Renewed,West,2201.37
P000168,C00635,A0030,Home,2024-08-06,2025-08-06,Active,West,2163.26
P000169,C00388,A0066,Life,2024-12-24,2025-12-24,Cancelled,West,1238.76
P000170,C00654,A0067,Commercial,2024-01-31,2025-01-30,Active,South,5747.52
P000171,C00353,A0019,Home,2023-06-09,2024-06-08,Cancelled,Northeast,2863.02
P000172,C00651,A0037,Auto,2023-03-19,2024-03-18,Cancelled,South,1373.95
P000173,C00698,A0065,Life,2023-06-02,2024-06-01,Active,South,1122.33
P000174,C00456,A0053,Home,2024-09-27,2025-09-27,Active,Northeast,2626.57
P000175,C00251,A0035,Home,2025-03-15,2026-03-15,Active,South,2738.86
P000176,C00389,A0017,Home,2024-05-23,2025-05-23,Active,Northeast,1937.63
P000177,C00712,A0073,Auto,2023-06-07,2024-06-06,Cancelled,Northeast,1271.84
P000178,C00431,A0022,Commercial,2025-06-24,2026-06-24,Expired,South,8285.65
P000179,C00428,A0004,Auto,2024-09-12,2025-09-12,Active,South,864.16
P000180,C00785,A0015,Home,2023-04-15,2024-04-14,Active,South,1941.19
P000181,C00626,A0002,Life,2025-06-08,2026-06-08,Active,Midwest,1327.16
P000182,C00330,A0062,Commercial,2024-03-10,2025-03-10,Active,South,9625.77
P000183,C00092,A0006,Auto,2025-04-03,2026-04-03,Active,South,941.5
P000184,C00661,A0043,Health,2023-09-25,2024-09-24,Renewed,Northeast,4862.93
P000185,C00906,A0046,Life,2025-06-27,2026-06-27,Active,West,1517.89
P000186,C00599,A0054,Health,2024-08-08,2025-08-08,Renewed,West,5112.1
P000187,C00286,A0006,Home,2023-09-04,2024-09-03,Active,South,3104.91
P000188,C00798,A0044,Health,2024-06-16,2025-06-16,Active,South,4737.12
P000189,C00133,A0060,Home,2025-01-22,2026-01-22,Active,West,2296.65
P000190,C00275,A0066,Commercial,2025-04-16,2026-04-16,Active,West,7297.91
P000191,C00556,A0028,Life,2024-07-13,2025-07-13,Cancelled,Midwest,617.65
P000192,C00655,A0045,Home,2024-09-27,2025-09-27,Active,Northeast,1172.11
P000193,C00991,A0025,Home,2024-07-20,2025-07-20,Active,West,2540.33
P000194,C00549,A0067,Auto,2024-07-05,2025-07-05,Active,South,780.88
P000195,C00921,A0027,Auto,2024-07-05,2025-07-05,Active,Midwest,889.35
P000196,C00324,A0038,Auto,2023-10-18,2024-10-17,Active,South,1099.06
P000197,C00295,A0078,Auto,2023-09-01,2024-08-31,Active,Northeast,1800.98
P000198,C00104,A0018,Life,2024-06-18,2025-06-18,Expired,West,793.13
P000199,C00811,A0060,Health,2023-10-12,2024-10-11,Active,West,3184.37
P000200,C00399,A0041,Life,2024-07-31,2025-07-31,Active,South,1538.56
P000201,C00335,A0004,Health,2023-03-29,2024-03-28,Active,South,4662.07
P000202,C00367,A0018,Commercial,2024-03-27,2025-03-27,Renewed,West,4053.0
P000203,C00051,A0041,Health,2025-06-13,2026-06-13,Expired,South,6009.35
P000204,C00271,A0020,Home,2024-02-16,2025-02-15,Active,South,1297.04
P000205,C00109,A0080,Life,2024-10-13,2025-10-13,Active,Midwest,786.63
P000206,C00556,A0002,Life,2024-12-22,2025-12-22,Expired,Midwest,1153.09
P000207,C00667,A0051,Home,2024-01-27,2025-01-26,Active,South,1665.77
P000208,C00344,A0015,Health,2023-12-08,2024-12-07,Active,South,7031.86
P000209,C00122,A0031,Auto,2024-09-06,2025-09-06,Active,South,1608.47
P000210,C00278,A0043,Commercial,2023-05-12,2024-05-11,Active,Northeast,5628.15
P000211,C00994,A0049,Home,2025-05-09,2026-05-09,Active,Midwest,2551.52
P000212,C00010,A0054,Auto,2024-05-25,2025-05-25,Renewed,West,1020.68
P000213,C00563,A0034,Home,2023-11-03,2024-11-02,Active,Northeast,1287.58
P000214,C00179,A0052,Auto,2024-08-20,2025-08-20,Active,West,1820.24
P000215,C00065,A0009,Commercial,2023-03-31,2024-03-30,Active,Midwest,3930.0
P000216,C00611,A0046,Home,2024-02-14,2025-02-13,Expired,West,2385.0
P000217,C00367,A0052,Commercial,2023-08-03,2024-08-02,Active,West,7323.26
P000218,C00972,A0054,Home,2023-06-29,2024-06-28,Active,West,1181.09
P000219,C00250,A0038,Auto,2024-06-24,2025-06-24,Expired,South,1025.98
P000220,C00918,A0025,Health,2025-03-14,2026-03-14,Cancelled,West,5579.78
P000221,C00273,A0065,Home,2024-08-01,2025-08-01,Active,South,2344.7
P000222,C00520,A0021,Commercial,2024-07-31,2025-07-31,Renewed,South,5943.98
P000223,C00233,A0066,Auto,2023-04-15,2024-04-14,Active,West,1749.63
P000224,C00976,A0010,Health,2024-06-03,2025-06-03,Renewed,Midwest,2870.84
P000225,C00514,A0071,Auto,2025-05-03,2026-05-03,Active,South,1310.4
P000226,C00882,A0012,Life,2025-02-24,2026-02-24,Active,Midwest,1469.94
P000227,C00872,A0066,Home,2025-01-13,2026-01-13,Renewed,West,2491.53
P000228,C00049,A0075,Life,2023-05-14,2024-05-13,Cancelled,Midwest,1597.52
P000229,C00706,A0043,Home,2024-06-12,2025-06-12,Active,Northeast,3138.89
P000230,C00094,A0020,Life,2023-05-11,2024-05-10,Cancelled,South,1392.82
P000231,C00796,A0050,Home,2025-03-12,2026-03-12,Active,South,2191.0
P000232,C00984,A0058,Home,2025-06-28,2026-06-28,Active,South,2406.91
P000233,C00849,A0046,Life,2024-06-08,2025-06-08,Active,West,893.42
P000234,C00623,A0080,Commercial,2023-04-15,2024-04-14,Active,Midwest,9733.55
P000235,C00943,A0059,Home,2023-03-08,2024-03-07,Active,Midwest,2663.13
P000236,C00066,A0076,Life,2023-03-27,2024-03-26,Active,South,1037.19
P000237,C00528,A0022,Life,2025-02-02,2026-02-02,Active,South,852.54
P000238,C00880,A0071,Health,2024-02-26,2025-02-25,Cancelled,South,5500.45
P000239,C00297,A0012,Life,2024-05-21,2025-05-21,Active,Midwest,1570.73
P000240,C00778,A0060,Commercial,2023-07-11,2024-07-10,Renewed,West,7140.74
P000241,C00644,A0016,Life,2023-12-25,2024-12-24,Expired,South,1121.51
P000242,C00058,A0012,Commercial,2023-08-23,2024-08-22,Cancelled,Midwest,8730.15
P000243,C00561,A0010,Health,2025-02-03,2026-02-03,Active,Midwest,4893.86
P000244,C00975,A0079,Life,2024-07-28,2025-07-28,Renewed,Northeast,960.63
P000245,C00236,A0056,Commercial,2023-02-20,2024-02-20,Active,South,4737.74
P000246,C00113,A0059,Home,2024-09-20,2025-09-20,Active,Midwest,2147.07
P000247,C00213,A0013,Health,2023-08-22,2024-08-21,Renewed,West,2963.48
P000248,C00438,A0067,Home,2024-04-12,2025-04-12,Expired,South,2101.99
P000249,C00778,A0030,Commercial,2023-02-11,2024-02-11,Active,West,9077.03
P000250,C00285,A0037,Auto,2024-11-03,2025-11-03,Active,South,1933.49
P000251,C00567,A0049,Health,2025-02-03,2026-02-03,Expired,Midwest,6639.04
P000252,C00979,A0035,Health,2024-01-04,2025-01-03,Active,South,4774.95
P000253,C00648,A0007,Auto,2024-03-21,2025-03-21,Cancelled,South,1040.06
P000254,C00037,A0058,Life,2024-03-18,2025-03-18,Renewed,South,848.26
P000255,C00280,A0004,Commercial,2023-06-11,2024-06-10,Cancelled,South,6974.13
P000256,C00635,A0066,Life,2023-04-30,2024-04-29,Active,West,1178.82
P000257,C00107,A0079,Commercial,2025-05-27,2026-05-27,Active,Northeast,6997.37
P000258,C00189,A0024,Auto,2023-04-11,2024-04-10,Active,South,1114.53
P000259,C00398,A0002,Auto,2023-06-19,2024-06-18,Active,Midwest,1835.45
P000260,C00760,A0039,Commercial,2024-03-23,2025-03-23,Expired,West,4317.35
P000261,C00196,A0059,Home,2024-05-17,2025-05-17,Expired,Midwest,2494.19
P000262,C00169,A0044,Auto,2024-08-28,2025-08-28,Active,South,1874.5
P000263,C00564,A0046,Home,2024-08-10,2025-08-10,Active,West,2277.24
P000264,C00779,A0016,Commercial,2024-11-11,2025-11-11,Renewed,South,8006.25
P000265,C00937,A0004,Home,2024-03-08,2025-03-08,Expired,South,1930.66
P000266,C00070,A0061,Life,2024-12-05,2025-12-05,Expired,South,899.17
P000267,C00730,A0055,Home,2024-12-13,2025-12-13,Active,Northeast,1701.09
P000268,C00908,A0057,Auto,2024-01-12,2025-01-11,Active,Northeast,2199.62
P000269,C00393,A0078,Commercial,2025-02-03,2026-02-03,Renewed,Northeast,8840.27
P000270,C00870,A0072,Health,2025-04-19,2026-04-19,Renewed,South,4007.29
P000271,C00786,A0031,Life,2025-02-16,2026-02-16,Active,South,1628.1
P000272,C00628,A0013,Home,2024-04-20,2025-04-20,Renewed,West,1908.39
P000273,C00587,A0024,Auto,2023-06-12,2024-06-11,Active,South,1894.02
P000274,C00588,A0010,Life,2024-06-22,2025-06-22,Active,Midwest,869.03
P000275,C00381,A0034,Home,2025-01-12,2026-01-12,Expired,Northeast,1516.71
P000276,C00151,A0047,Commercial,2023-12-02,2024-12-01,Renewed,South,9420.51
P000277,C00673,A0029,Health,2023-10-07,2024-10-06,Renewed,Northeast,3634.72
P000278,C00596,A0056,Home,2023-06-20,2024-06-19,Expired,South,1748.73
P000279,C00392,A0077,Commercial,2025-06-27,2026-06-27,Active,Northeast,5364.39
P000280,C00422,A0026,Health,2024-11-01,2025-11-01,Expired,Midwest,7173.01
P000281,C00903,A0002,Health,2024-04-27,2025-04-27,Renewed,Midwest,5315.4
P000282,C00784,A0074,Health,2024-06-08,2025-06-08,Active,South,6137.13
P000283,C00425,A0010,Health,2024-12-28,2025-12-28,Active,Midwest,7452.79
P000284,C00377,A0005,Auto,2023-02-20,2024-02-20,Active,West,1693.56
P000285,C00986,A0076,Auto,2023-01-08,2024-01-08,Cancelled,South,2177.09
P000286,C00433,A0035,Home,2024-01-28,2025-01-27,Active,South,1962.41
P000287,C00786,A0072,Home,2025-06-16,2026-06-16,Renewed,South,2325.05
P000288,C00564,A0018,Auto,2025-01-15,2026-01-15,Active,West,1921.14
P000289,C00606,A0069,Commercial,2024-01-18,2025-01-17,Expired,South,8187.63
P000290,C00968,A0037,Health,2023-07-21,2024-07-20,Renewed,South,5951.05
P000291,C00830,A0059,Auto,2024-01-29,2025-01-28,Expired,Midwest,1711.51
P000292,C00753,A0052,Life,2024-03-14,2025-03-14,Renewed,West,1117.8
P000293,C00477,A0001,Health,2025-01-01,2026-01-01,Cancelled,Northeast,5447.1
P000294,C00941,A0029,Auto,2025-06-12,2026-06-12,Active,Northeast,1085.85
P000295,C00256,A0045,Home,2024-01-23,2025-01-22,Active,Northeast,2415.03
P000296,C00786,A0021,Auto,2024-02-20,2025-02-19,Active,South,1155.15
P000297,C00450,A0012,Life,2023-11-13,2024-11-12,Expired,Midwest,899.3
P000298,C00975,A0055,Home,2024-05-17,2025-05-17,Renewed,Northeast,2527.03
P000299,C00442,A0044,Auto,2024-06-13,2025-06-13,Cancelled,South,1153.92
P000300,C00424,A0065,Home,2024-05-22,2025-05-22,Active,South,1326.59
P000301,C00287,A0048,Auto,2024-01-06,2025-01-05,Active,West,2153.84
P000302,C00337,A0018,Commercial,2023-07-24,2024-07-23,Renewed,West,6869.6
P000303,C00658,A0054,Life,2023-12-21,2024-12-20,Cancelled,West,601.5
P000304,C00798,A0037,Commercial,2024-04-16,2025-04-16,Active,South,4788.94
P000305,C00526,A0029,Home,2023-04-12,2024-04-11,Active,Northeast,3301.36
P000306,C00798,A0047,Life,2023-03-07,2024-03-06,Cancelled,South,1554.08
P000307,C00331,A0010,Auto,2023-08-31,2024-08-30,Renewed,Midwest,922.47
P000308,C00748,A0063,Life,2023-09-29,2024-09-28,Expired,Northeast,948.33
P000309,C00002,A0025,Life,2023-08-23,2024-08-22,Cancelled,West,936.99
P000310,C00609,A0006,Commercial,2025-06-16,2026-06-16,Active,South,8968.97
P000311,C00840,A0059,Life,2024-10-20,2025-10-20,Active,Midwest,1125.24
P000312,C00194,A0046,Life,2024-07-01,2025-07-01,Active,West,1639.52
P000313,C00121,A0028,Auto,2023-11-09,2024-11-08,Expired,Midwest,2174.16
P000314,C00863,A0029,Auto,2025-06-02,2026-06-02,Expired,Northeast,1210.35
P000315,C00089,A0027,Home,2024-09-22,2025-09-22,Active,Midwest,1225.92
P000316,C00038,A0062,Life,2024-02-25,2025-02-24,Expired,South,668.4
P000317,C00810,A0007,Home,2025-03-05,2026-03-05,Renewed,South,3042.01
P000318,C00291,A0066,Home,2024-04-17,2025-04-17,Cancelled,West,2857.25
P000319,C00361,A0072,Health,2025-04-24,2026-04-24,Cancelled,South,7759.01
P000320,C00472,A0071,Home,2023-08-11,2024-08-10,Active,South,1457.25
P000321,C00270,A0026,Home,2024-04-02,2025-04-02,Renewed,Midwest,2277.65
P000322,C00003,A0003,Home,2025-02-11,2026-02-11,Renewed,South,2494.47
P000323,C00435,A0055,Life,2023-04-24,2024-04-23,Expired,Northeast,1597.02
P000324,C00971,A0035,Life,2023-06-16,2024-06-15,Active,South,1458.79
P000325,C00624,A0001,Health,2023-06-17,2024-06-16,Cancelled,Northeast,7537.27
P000326,C00921,A0080,Life,2024-01-01,2024-12-31,Renewed,Midwest,1649.9
P000327,C00683,A0028,Life,2024-05-20,2025-05-20,Renewed,Midwest,1657.36
P000328,C00790,A0078,Health,2024-04-16,2025-04-16,Active,Northeast,2904.19
P000329,C00700,A0041,Commercial,2025-06-25,2026-06-25,Expired,South,10958.18
P000330,C00069,A0041,Home,2023-04-26,2024-04-25,Expired,South,2706.59
P000331,C00059,A0039,Life,2024-02-22,2025-02-21,Renewed,West,1141.14
P000332,C00203,A0047,Auto,2025-05-25,2026-05-25,Expired,South,1815.11
P000333,C00517,A0028,Home,2024-03-05,2025-03-05,Active,Midwest,1170.16
P000334,C00432,A0044,Auto,2023-10-01,2024-09-30,Active,South,1030.48
P000335,C00947,A0020,Health,2023-09-12,2024-09-11,Cancelled,South,6160.25
