premium_id,policy_id,payment_date,premium_amount,payment_status,payment_method
PM0000115,P000033,2024-05-11,217.22,Paid,Wire
PM0000116,P000033,2024-08-04,217.22,Failed,Wire
PM0000117,P000034,2024-05-22,321.47,Paid,ACH
PM0000118,P000034,2024-08-06,321.47,Paid,Card
PM0000119,P000034,2024-11-14,321.47,Paid,Card
PM0000120,P000034,2025-01-31,321.47,Paid,Check
PM0000121,P000035,2023-12-31,576.04,Paid,ACH
PM0000122,P000035,2024-04-06,576.04,Paid,Wire
PM0000123,P000035,2024-06-29,576.04,Paid,Card
PM0000124,P000035,2024-09-28,576.04,Paid,Check
PM0000125,P000036,2024-03-16,583.85,Late,ACH
PM0000126,P000036,2024-06-11,583.85,Paid,Card
PM0000127,P000036,2024-09-02,583.85,Paid,Wire
PM0000128,P000036,2024-12-01,583.85,Paid,Check
PM0000129,P000037,2025-04-03,216.72,Paid,Wire
PM0000130,P000037,2025-07-01,216.72,Paid,Check
PM0000131,P000037,2025-09-20,216.72,Paid,Wire
PM0000132,P000038,2024-03-30,806.53,Paid,ACH
PM0000133,P000038,2024-06-15,806.53,Paid,Card
PM0000134,P000038,2024-09-15,806.53,Paid,ACH
PM0000135,P000038,2024-12-26,806.53,Paid,Check
PM0000136,P000039,2025-04-21,405.72,Paid,Wire
PM0000137,P000039,2025-07-28,405.72,Paid,Wire
PM0000138,P000039,2025-10-24,405.72,Late,Wire
PM0000139,P000040,2024-05-16,2725.63,Paid,Check
PM0000140,P000040,2024-11-16,2725.63,Paid,Wire
PM0000141,P000040,2025-02-03,2725.63,Paid,ACH
PM0000142,P000041,2023-09-24,1250.68,Paid,Card
PM0000143,P000041,2023-12-31,1250.68,Paid,Check
PM0000144,P000041,2024-03-28,1250.68,Paid,Check
PM0000145,P000041,2024-06-10,1250.68,Paid,Check
PM0000146,P000042,2023-01-17,613.36,Paid,Card
PM0000147,P000042,2023-04-08,613.36,Paid,Card
PM0000148,P000042,2023-07-05,613.36,Paid,Wire
PM0000149,P000042,2023-10-10,613.36,Paid,ACH
PM0000150,P000043,2023-08-24,432.66,Paid,Card
PM0000151,P000043,2023-11-28,432.66,Late,Card
PM0000152,P000043,2024-02-22,432.66,Paid,Check
PM0000153,P000043,2024-05-26,432.66,Paid,Wire
PM0000154,P000044,2024-06-17,381.44,Paid,ACH
PM0000155,P000044,2024-09-20,381.44,Late,Check
PM0000156,P000044,2024-12-26,381.44,Paid,Card
PM0000157,P000044,2025-03-11,381.44,Paid,Card
PM0000158,P000045,2023-10-15,288.86,Paid,ACH
PM0000159,P000045,2024-04-01,288.86,Paid,Wire
PM0000160,P000046,2024-11-16,698.21,Paid,Check
PM0000161,P000046,2025-02-27,698.21,Paid,ACH
PM0000162,P000046,2025-05-26,698.21,Paid,Wire
PM0000163,P000046,2025-08-11,698.21,Late,ACH
PM0000164,P000047,2024-07-07,173.4,Paid,Check
PM0000165,P000047,2024-10-02,173.4,Paid,Card
PM0000166,P000047,2025-01-07,173.4,Paid,Check
PM0000167,P000047,2025-04-03,173.4,Paid,Check
PM0000168,P000048,2023-12-01,821.57,Paid,Wire
PM0000169,P000048,2024-02-17,821.57,Paid,ACH
PM0000170,P000048,2024-05-18,821.57,Paid,Wire
PM0000171,P000049,2024-10-16,1774.06,Paid,Check
PM0000172,P000049,2025-01-17,1774.06,Failed,Check
PM0000173,P000049,2025-04-29,1774.06,Paid,ACH
PM0000174,P000049,2025-07-18,1774.06,Paid,Card
PM0000175,P000050,2023-01-10,2513.15,Paid,Check
PM0000176,P000050,2023-04-08,2513.15,Paid,Wire
PM0000177,P000050,2023-07-06,2513.15,Paid,ACH
PM0000178,P000050,2023-10-13,2513.15,Paid,ACH
PM0000179,P000051,2024-05-25,256.37,Paid,ACH
PM0000180,P000051,2024-09-04,256.37,Late,Check
PM0000181,P000051,2024-11-23,256.37,Paid,Card
PM0000182,P000051,2025-02-21,256.37,Paid,Check
PM0000183,P000052,2024-05-31,311.78,Paid,Check
PM0000184,P000052,2025-02-19,311.78,Paid,Card
PM0000185,P000053,2024-09-07,478.01,Paid,Wire
PM0000186,P000053,2024-11-23,478.01,Paid,Check
PM0000187,P000053,2025-02-28,478.01,Paid,Wire
PM0000188,P000053,2025-05-22,478.01,Paid,ACH
PM0000189,P000054,2023-08-14,617.42,Paid,Check
PM0000190,P000054,2023-10-25,617.42,Paid,Wire
PM0000191,P000054,2024-02-09,617.42,Paid,ACH
PM0000192,P000054,2024-05-01,617.42,Paid,Wire
PM0000193,P000055,2024-02-12,373.62,Paid,Card
PM0000194,P000055,2024-05-08,373.62,Paid,Wire
PM0000195,P000055,2024-08-07,373.62,Paid,Card
PM0000196,P000055,2024-10-30,373.62,Failed,Card
PM0000197,P000056,2024-09-16,594.2,Paid,ACH
PM0000198,P000056,2024-12-14,594.2,Paid,Wire
PM0000199,P000056,2025-06-15,594.2,Paid,Card
PM0000200,P000057,2025-05-31,149.06,Paid,ACH
PM0000201,P000057,2025-09-04,149.06,Late,ACH
PM0000202,P000057,2025-12-15,149.06,Paid,Wire
PM0000203,P000058,2025-06-23,745.44,Paid,Card
PM0000204,P000058,2025-12-29,745.44,Paid,Wire
PM0000205,P000059,2023-05-03,407.8,Late,ACH
PM0000206,P000059,2023-08-03,407.8,Paid,ACH
PM0000207,P000059,2023-11-12,407.8,Paid,Check
PM0000208,P000060,2024-10-04,283.19,Paid,Card
PM0000209,P000060,2024-12-20,283.19,Paid,Wire
PM0000210,P000060,2025-03-13,283.19,Paid,Check
PM0000211,P000060,2025-06-18,283.19,Paid,Check
PM0000212,P000061,2023-03-21,2205.48,Paid,Check
PM0000213,P000061,2023-06-18,2205.48,Failed,Check
PM0000214,P000061,2023-09-12,2205.48,Paid,Wire
PM0000215,P000061,2023-12-15,2205.48,Paid,ACH
PM0000216,P000062,2024-02-29,1530.29,Paid,Check
PM0000217,P000062,2024-08-15,1530.29,Paid,ACH
PM0000218,P000062,2024-11-11,1530.29,Paid,ACH
PM0000219,P000063,2024-06-09,181.67,Paid,Wire
PM0000220,P000063,2024-09-15,181.67,Paid,Check
PM0000221,P000063,2025-03-17,181.67,Paid,Wire
PM0000222,P000064,2023-12-22,2500.67,Paid,Wire
PM0000223,P000064,2024-03-24,2500.67,Paid,ACH
PM0000224,P000064,2024-06-19,2500.67,Paid,Wire
PM0000225,P000064,2024-09-16,2500.67,Failed,Wire
PM0000226,P000065,2024-10-04,183.38,Paid,Wire
PM0000227,P000065,2025-01-19,183.38,Paid,Wire
PM0000228,P000065,2025-04-21,183.38,Paid,Wire
PM0000229,P000066,2024-11-02,389.07,Paid,ACH
PM0000230,P000066,2025-02-01,389.07,Paid,Check
PM0000231,P000066,2025-04-28,389.07,Paid,ACH
PM0000232,P000066,2025-07-19,389.07,Paid,Card
PM0000233,P000067,2024-02-17,366.16,Paid,Wire
PM0000234,P000067,2024-08-04,366.16,Paid,Wire
PM0000235,P000067,2024-11-17,366.16,Paid,Check
PM0000236,P000068,2023-08-20,412.87,Paid,Wire
PM0000237,P000068,2024-02-25,412.87,Failed,Card
PM0000238,P000069,2024-10-18,1931.72,Paid,Wire
PM0000239,P000069,2025-01-16,1931.72,Paid,Check
PM0000240,P000069,2025-04-22,1931.72,Paid,Card
PM0000241,P000069,2025-07-28,1931.72,Paid,Check
PM0000242,P000070,2024-10-25,2717.09,Paid,ACH
PM0000243,P000070,2025-01-17,2717.09,Paid,ACH
PM0000244,P000070,2025-04-16,2717.09,Paid,Card
PM0000245,P000071,2023-03-27,521.19,Paid,Check
PM0000246,P000071,2023-06-08,521.19,Paid,Card
PM0000247,P000071,2023-09-03,521.19,Paid,Wire
PM0000248,P000071,2023-12-20,521.19,Paid,Check
PM0000249,P000072,2024-10-16,939.1,Paid,Check
PM0000250,P000072,2025-01-11,939.1,Paid,Check
PM0000251,P000072,2025-04-09,939.1,Paid,Wire
PM0000252,P000072,2025-07-15,939.1,Paid,Check
PM0000253,P000073,2024-11-04,331.28,Paid,Wire
PM0000254,P000073,2025-01-19,331.28,Paid,Wire
PM0000255,P000073,2025-05-03,331.28,Late,ACH
PM0000256,P000073,2025-08-03,331.28,Paid,Check
PM0000257,P000074,2025-06-14,402.86,Paid,Check
PM0000258,P000074,2025-08-29,402.86,Paid,Check
PM0000259,P000075,2024-08-31,360.15,Paid,Card
PM0000260,P000075,2024-11-18,360.15,Paid,ACH
PM0000261,P000075,2025-02-21,360.15,Paid,Card
PM0000262,P000075,2025-05-25,360.15,Paid,ACH
PM0000263,P000076,2024-10-24,402.81,Paid,Card
PM0000264,P000076,2025-01-23,402.81,Paid,Check
PM0000265,P000076,2025-04-17,402.81,Paid,Card
PM0000266,P000077,2023-06-13,349.91,Paid,Card
PM0000267,P000077,2023-09-11,349.91,Refunded,Wire
PM0000268,P000077,2023-11-25,349.91,Paid,Check
PM0000269,P000077,2024-03-06,349.91,Paid,Check
PM0000270,P000078,2025-03-22,568.87,Paid,ACH
PM0000271,P000078,2025-07-01,568.87,Paid,ACH
PM0000272,P000078,2025-10-02,568.87,Paid,ACH
PM0000273,P000079,2024-02-28,346.6,Failed,Card
PM0000274,P000079,2024-05-24,346.6,Paid,ACH
PM0000275,P000079,2024-08-19,346.6,Paid,Card
PM0000276,P000079,2024-11-21,346.6,Paid,ACH
PM0000277,P000080,2025-06-22,506.29,Paid,Card
PM0000278,P000080,2025-12-18,506.29,Paid,Wire
PM0000279,P000081,2023-03-10,350.47,Late,Wire
PM0000280,P000081,2023-06-01,350.47,Paid,ACH
PM0000281,P000081,2023-08-29,350.47,Paid,Card
PM0000282,P000081,2023-12-05,350.47,Paid,Wire
PM0000283,P000082,2023-11-07,779.91,Refunded,Card
PM0000284,P000082,2024-05-17,779.91,Paid,Check
PM0000285,P000082,2024-08-16,779.91,Paid,Card
PM0000286,P000083,2023-09-13,333.82,Paid,Card
PM0000287,P000083,2023-12-05,333.82,Late,Card
PM0000288,P000083,2024-03-05,333.82,Late,ACH
PM0000289,P000083,2024-06-09,333.82,Paid,Card
PM0000290,P000084,2023-08-08,1439.63,Paid,Wire
PM0000291,P000084,2023-11-04,1439.63,Paid,Wire
PM0000292,P000084,2024-02-05,1439.63,Paid,Wire
PM0000293,P000085,2023-03-22,393.65,Paid,Card
PM0000294,P000085,2023-06-12,393.65,Paid,Card
PM0000295,P000085,2023-09-12,393.65,Paid,Check
PM0000296,P000085,2023-12-12,393.65,Failed,Check
PM0000297,P000086,2024-06-16,263.01,Refunded,Check
PM0000298,P000086,2024-09-22,263.01,Paid,Wire
PM0000299,P000086,2024-12-18,263.01,Paid,Wire
PM0000300,P000086,2025-03-12,263.01,Paid,ACH
PM0000301,P000087,2023-07-20,252.59,Paid,ACH
PM0000302,P000087,2023-10-09,252.59,Paid,Card
PM0000303,P000087,2024-01-23,252.59,Paid,ACH
PM0000304,P000087,2024-04-14,252.59,Paid,Card
PM0000305,P000088,2024-08-26,1208.48,Paid,Card
PM0000306,P000088,2024-11-26,1208.48,Paid,ACH
PM0000307,P000088,2025-02-19,1208.48,Paid,ACH
PM0000308,P000088,2025-05-23,1208.48,Paid,ACH
PM0000309,P000089,2023-01-30,1645.69,Paid,Card
PM0000310,P000089,2023-04-29,1645.69,Paid,Wire
PM0000311,P000089,2023-07-16,1645.69,Paid,Card
PM0000312,P000089,2023-10-29,1645.69,Paid,ACH
PM0000313,P000090,2024-01-07,445.19,Paid,Wire
PM0000314,P000090,2024-04-01,445.19,Paid,Check
PM0000315,P000090,2024-07-12,445.19,Late,Wire
PM0000316,P000091,2023-04-17,1487.86,Paid,Wire
PM0000317,P000091,2023-07-11,1487.86,Late,ACH
PM0000318,P000091,2023-10-22,1487.86,Late,Check
PM0000319,P000091,2024-01-05,1487.86,Paid,Card
PM0000320,P000092,2024-02-06,2382.61,Paid,ACH
PM0000321,P000092,2024-05-20,2382.61,Paid,Check
PM0000322,P000092,2024-08-13,2382.61,Paid,Wire
PM0000323,P000092,2024-11-01,2382.61,Paid,Check
PM0000324,P000093,2024-07-28,524.12,Paid,Wire
PM0000325,P000093,2024-11-09,524.12,Paid,ACH
PM0000326,P000093,2025-02-12,524.12,Paid,Card
PM0000327,P000093,2025-05-05,524.12,Paid,ACH
PM0000328,P000094,2023-12-12,1794.9,Paid,Check
PM0000329,P000094,2024-02-21,1794.9,Paid,ACH
PM0000330,P000094,2024-05-20,1794.9,Paid,ACH
PM0000331,P000094,2024-09-03,1794.9,Paid,ACH
PM0000332,P000095,2024-11-26,648.89,Paid,Check
PM0000333,P000095,2025-02-20,648.89,Paid,Card
PM0000334,P000095,2025-05-06,648.89,Late,Wire
PM0000335,P000095,2025-08-16,648.89,Paid,Check
PM0000336,P000096,2025-01-30,343.61,Failed,ACH
PM0000337,P000096,2025-04-23,343.61,Late,ACH
PM0000338,P000096,2025-08-01,343.61,Paid,Wire
PM0000339,P000096,2025-10-30,343.61,Paid,Wire
PM0000340,P000097,2023-12-24,512.23,Paid,Wire
PM0000341,P000097,2024-03-15,512.23,Paid,ACH
PM0000342,P000097,2024-06-26,512.23,Paid,Check
PM0000343,P000097,2024-09-15,512.23,Paid,Check
PM0000344,P000098,2023-04-30,677.45,Refunded,ACH
PM0000345,P000098,2023-08-13,677.45,Paid,ACH
PM0000346,P000098,2023-11-03,677.45,Late,Wire
PM0000347,P000098,2024-01-24,677.45,Paid,Check
PM0000348,P000099,2023-09-09,1576.03,Paid,Check
PM0000349,P000099,2023-12-14,1576.03,Paid,Card
PM0000350,P000099,2024-03-12,1576.03,Paid,Check
PM0000351,P000099,2024-05-29,1576.03,Paid,Wire
PM0000352,P000100,2025-06-25,403.19,Paid,Check
PM0000353,P000100,2025-09-14,403.19,Paid,Card
PM0000354,P000100,2025-12-09,403.19,Paid,Check
PM0000355,P000101,2024-07-27,239.44,Paid,Card
PM0000356,P000101,2024-10-23,239.44,Paid,ACH
PM0000357,P000101,2025-01-21,239.44,Paid,Check
PM0000358,P000102,2023-05-17,1388.98,Paid,Check
PM0000359,P000102,2023-09-02,1388.98,Late,Wire
PM0000360,P000102,2023-11-28,1388.98,Paid,Check
PM0000361,P000102,2024-02-28,1388.98,Late,Wire
PM0000362,P000103,2025-06-02,198.78,Paid,Card
PM0000363,P000103,2025-08-21,198.78,Failed,Check
PM0000364,P000103,2025-12-04,198.78,Paid,ACH
PM0000365,P000104,2023-12-30,611.16,Paid,Card
PM0000366,P000104,2024-04-13,611.16,Paid,Card
PM0000367,P000104,2024-07-09,611.16,Paid,Check
PM0000368,P000105,2024-05-20,434.71,Paid,Check
PM0000369,P000105,2024-08-17,434.71,Paid,Card
PM0000370,P000105,2024-11-09,434.71,Late,Card
PM0000371,P000105,2025-02-02,434.71,Paid,Check
PM0000372,P000106,2024-11-30,1535.61,Paid,ACH
PM0000373,P000106,2025-03-03,1535.61,Paid,Wire
PM0000374,P000106,2025-05-30,1535.61,Refunded,Check
PM0000375,P000106,2025-08-22,1535.61,Paid,Card
PM0000376,P000107,2024-10-19,1765.45,Paid,Card
PM0000377,P000107,2025-01-08,1765.45,Paid,Wire
PM0000378,P000107,2025-04-06,1765.45,Paid,Check
PM0000379,P000107,2025-07-16,1765.45,Paid,Check
PM0000380,P000108,2025-04-14,381.95,Paid,Wire
PM0000381,P000108,2025-07-03,381.95,Paid,Check
PM0000382,P000108,2025-10-07,381.95,Paid,Card
PM0000383,P000109,2025-05-01,334.45,Paid,Wire
PM0000384,P000109,2025-08-09,334.45,Paid,Card
PM0000385,P000109,2025-11-08,334.45,Late,Check
PM0000386,P000110,2024-12-31,334.81,Paid,ACH
PM0000387,P000110,2025-03-15,334.81,Paid,Card
PM0000388,P000110,2025-06-14,334.81,Paid,ACH
PM0000389,P000111,2023-07-01,801.03,Paid,Check
PM0000390,P000111,2023-09-26,801.03,Paid,ACH
PM0000391,P000111,2024-01-01,801.03,Paid,Check
PM0000392,P000111,2024-03-20,801.03,Paid,Check
PM0000393,P000112,2024-08-08,204.81,Paid,ACH
PM0000394,P000112,2024-11-02,204.81,Paid,ACH
PM0000395,P000112,2025-01-31,204.81,Paid,Wire
PM0000396,P000112,2025-05-08,204.81,Paid,ACH
PM0000397,P000113,2025-03-28,305.05,Late,ACH
PM0000398,P000113,2025-06-14,305.05,Paid,Card
PM0000399,P000113,2025-09-11,305.05,Late,ACH
PM0000400,P000113,2025-12-15,305.05,Paid,Check
PM0000401,P000114,2024-07-28,1723.36,Paid,Wire
PM0000402,P000114,2024-10-25,1723.36,Paid,Card
PM0000403,P000114,2025-01-23,1723.36,Paid,Card
PM0000404,P000115,2025-06-03,1738.19,Late,Card
PM0000405,P000115,2025-09-16,1738.19,Paid,Card
PM0000406,P000115,2025-12-13,1738.19,Paid,Card
PM0000407,P000116,2025-02-26,2511.37,Paid,Check
PM0000408,P000116,2025-06-06,2511.37,Paid,ACH
PM0000409,P000116,2025-09-05,2511.37,Paid,Card
PM0000410,P000116,2025-11-23,2511.37,Paid,Wire
PM0000411,P000117,2023-10-23,513.29,Paid,Wire
PM0000412,P000117,2024-04-17,513.29,Paid,ACH
PM0000413,P000117,2024-07-03,513.29,Failed,Check
PM0000414,P000118,2025-04-26,2090.76,Refunded,Card
PM0000415,P000118,2025-07-19,2090.76,Paid,Check
PM0000416,P000118,2025-10-11,2090.76,Late,ACH
PM0000417,P000119,2023-09-06,1020.98,Late,ACH
PM0000418,P000119,2023-12-19,1020.98,Paid,Check
PM0000419,P000119,2024-02-28,1020.98,Paid,ACH
PM0000420,P000119,2024-06-12,1020.98,Paid,Check
PM0000421,P000120,2024-08-03,1660.45,Paid,Card
PM0000422,P000120,2024-10-31,1660.45,Late,ACH
PM0000423,P000120,2025-01-29,1660.45,Paid,Wire
PM0000424,P000120,2025-04-28,1660.45,Paid,Check
PM0000425,P000121,2025-06-13,1414.85,Paid,ACH
PM0000426,P000121,2025-09-03,1414.85,Late,Check
PM0000427,P000121,2025-11-26,1414.85,Paid,Wire
PM0000428,P000122,2023-10-11,296.94,Paid,Check
PM0000429,P000122,2023-12-28,296.94,Paid,ACH
PM0000430,P000122,2024-03-26,296.94,Paid,ACH
PM0000431,P000122,2024-07-10,296.94,Paid,Check
PM0000432,P000123,2023-03-14,277.09,Paid,Wire
PM0000433,P000123,2023-06-16,277.09,Failed,Wire
PM0000434,P000123,2023-09-10,277.09,Paid,ACH
PM0000435,P000123,2023-12-03,277.09,Paid,Card
PM0000436,P000124,2023-02-10,278.46,Paid,ACH
PM0000437,P000124,2023-04-26,278.46,Late,Check
PM0000438,P000124,2023-08-01,278.46,Paid,ACH
PM0000439,P000124,2023-11-07,278.46,Paid,Card
PM0000440,P000125,2025-04-14,725.67,Paid,ACH
PM0000441,P000125,2025-07-21,725.67,Paid,Card
PM0000442,P000125,2025-10-14,725.67,Paid,Check
PM0000443,P000126,2024-04-25,457.96,Paid,Card
PM0000444,P000126,2024-07-17,457.96,Paid,ACH
PM0000445,P000126,2024-10-23,457.96,Paid,Wire
PM0000446,P000126,2025-01-28,457.96,Paid,Check
PM0000447,P000127,2024-02-28,1642.09,Paid,ACH
PM0000448,P000127,2024-06-01,1642.09,Paid,Card
PM0000449,P000127,2024-08-25,1642.09,Paid,Card
PM0000450,P000127,2024-11-29,1642.09,Paid,Card
PM0000451,P000128,2025-07-02,2459.35,Paid,ACH
PM0000452,P000129,2024-02-29,1500.98,Paid,Card
PM0000453,P000129,2024-05-16,1500.98,Paid,Check
PM0000454,P000129,2024-08-29,1500.98,Paid,Card
PM0000455,P000129,2024-11-14,1500.98,Paid,ACH
PM0000456,P000130,2023-04-08,208.12,Paid,Check
PM0000457,P000130,2023-07-06,208.12,Paid,Wire
PM0000458,P000130,2023-10-19,208.12,Paid,Check
PM0000459,P000130,2024-01-04,208.12,Paid,Check
PM0000460,P000131,2025-03-05,209.21,Paid,ACH
PM0000461,P000131,2025-06-14,209.21,Paid,Check
PM0000462,P000131,2025-09-09,209.21,Paid,Wire
PM0000463,P000131,2025-12-15,209.21,Paid,Check
PM0000464,P000132,2024-12-16,2523.57,Paid,Card
PM0000465,P000132,2025-03-14,2523.57,Paid,Card
PM0000466,P000132,2025-09-07,2523.57,Paid,Wire
PM0000467,P000133,2024-11-18,1609.52,Paid,Check
PM0000468,P000133,2025-02-23,1609.52,Refunded,ACH
PM0000469,P000133,2025-05-11,1609.52,Paid,ACH
PM0000470,P000133,2025-08-19,1609.52,Failed,Card
PM0000471,P000134,2023-09-24,1622.57,Paid,Check
PM0000472,P000134,2023-12-15,1622.57,Paid,ACH
PM0000473,P000134,2024-03-14,1622.57,Paid,Card
PM0000474,P000134,2024-06-09,1622.57,Paid,Card
PM0000475,P000135,2023-06-25,1548.18,Paid,Wire
PM0000476,P000135,2023-10-08,1548.18,Paid,ACH
PM0000477,P000135,2023-12-20,1548.18,Paid,Wire
PM0000478,P000135,2024-03-22,1548.18,Paid,ACH
PM0000479,P000136,2023-06-19,1689.13,Paid,ACH
PM0000480,P000136,2023-09-15,1689.13,Paid,ACH
PM0000481,P000136,2023-12-24,1689.13,Paid,Card
PM0000482,P000136,2024-03-29,1689.13,Paid,ACH
PM0000483,P000137,2023-12-21,302.99,Failed,Check
PM0000484,P000137,2024-03-14,302.99,Paid,Card
